source,target,docID,type,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments1,answerPossAlignments1,answerSourceHighlights1,answerTargetHighlights1
he added that we are '' not going to make progress if we do n't broaden the tent '' .,he added Democrats are not going to make progress if we dont broaden the tent .,news-A:1324,test,19-15 6-4 7-5 8-6 9-7 10-8 11-9 12-10 15-12 16-13 17-14 0-0 1-1 ,{},{},{},0-0 1-1 4-3 6-4 7-5 8-6 9-7 10-8 11-9 12-10 13-11 14-11 15-12 16-13 17-14 19-15 ,3-2 ,{},{}
it was the biggest protest since hundreds of thousands marched in outrage over the massacre of democracy activists occupying Tiananmen Square in Beijing in 1989 .,Hong Kong has not seen such a protest since hundreds of thousands marched in outrage over the 1989 massacre of democracy activists occupying Beijing 's Tiananmen Square .,news-A:248,test,25-27 4-7 5-8 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-18 15-19 16-20 17-21 18-22 19-25 20-26 22-23 24-17 2-5 ,{},{},{},4-7 5-8 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-18 15-19 16-20 17-21 18-22 19-25 20-26 22-23 24-17 25-27 ,3-5 21-24 ,{},{}
"'' any decision on Charleroi will have huge implications for regional airports in France '' , he said .",'' a bad decision on Charleroi would have huge implications for state-owned regional airports in France .,news-A:1231,test,18-16 6-7 7-8 8-9 9-10 10-12 11-13 12-14 13-15 2-3 3-4 4-5 0-0 ,{},{},{},0-0 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-12 11-13 12-14 13-15 18-16 ,1-1 ,{},{}
shares of Microsoft rose 50 cents Friday to close at $ 28.34 a share on the Nasdaq Stock Market .,"Microsoft 's stock was up 50 cents , to $ 28.34 a share in New York yesterday .",news-A:137,test,19-17 10-9 11-10 12-11 13-12 4-5 5-6 2-0 0-2 6-16 ,{},{},{},0-2 1-1 2-0 3-3 3-4 4-5 5-6 6-16 7-8 10-9 11-10 12-11 13-12 16-14 16-15 17-14 17-15 18-14 18-15 19-17 ,14-13 ,{},{}
last month Intel raised its revenue guidance for the quarter to between $ 7.6 billion and $ 7.8 billion .,"at the end of the second quarter , Intel initially predicted sales of between $ 6.9 billion and $ 7.5 billion .",news-A:133,test,19-21 14-16 15-17 16-18 11-13 12-14 18-20 2-8 9-6 8-4 ,{},{},{},0-2 0-3 0-4 0-5 0-6 1-2 1-3 1-4 1-5 1-6 2-8 9-6 11-13 12-14 14-16 15-17 16-18 18-20 19-21 ,3-10 3-11 4-8 5-10 5-11 6-10 6-11 13-15 17-19 ,{},{}
"Elena Slough , considered to be the nation 's oldest person and the third oldest person in the world , died early Sunday morning .","Elena Slough , considered to be the oldest person in the US and the third oldest person in the world , has died .",news-A:56,test,24-23 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 19-20 0-0 1-1 2-2 3-3 4-4 5-5 6-6 9-7 10-8 20-22 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-11 8-9 8-10 9-7 10-8 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 19-20 20-21 20-22 24-23 ,{},{},{}
it recommended that consideration be given to making the job of CIA director a career post instead of a political appointment .,"it suggests that Congress consider making the CIA director a professional position , rather than a political appointment .",news-A:2527,test,21-18 18-15 19-16 20-17 11-7 12-8 13-9 7-5 8-6 1-1 0-0 15-11 14-10 16-13 3-4 2-2 ,{},{},{},0-0 2-2 3-4 4-4 5-4 7-5 8-6 11-7 12-8 13-9 14-10 15-11 16-13 16-14 17-13 17-14 18-15 19-16 20-17 21-18 ,1-1 ,{},{}
"he said it was a mistake , and he reimbursed the party nearly $ 2,000 .","the governor said the use of the credit card was a mistake , and has since reimbursed the party for the expense .",news-A:1052,test,15-22 3-9 4-10 5-11 6-12 7-13 9-16 10-17 11-18 1-2 ,{},{},{},1-2 3-9 4-10 5-11 6-12 7-13 9-14 9-16 10-17 11-18 15-22 ,0-1 2-3 2-4 2-5 2-6 2-7 2-8 12-21 13-21 14-21 ,{},{}
the AP quotes a local policeman as saying the British troops were targeted by townspeople angry over civilian deaths during a demonstration yesterday in the town of Majar Al-Kabir .,Associated Press quotes a local policeman as saying that the British troops were targeted by townspeople angry over civilian deaths during an earlier demonstration in the town of Majar al-Kabir .,news-A:581,test,29-30 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 19-20 23-24 24-25 25-26 26-27 27-28 28-29 2-2 3-3 4-4 5-5 6-6 7-7 1-0 1-1 21-23 20-21 ,{},{},{},1-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 19-20 20-21 21-23 23-24 24-25 25-26 26-27 27-28 28-29 29-30 ,22-22 ,{},{}
"El Watan , an Algerian newspaper , reported that the kidnappers fiercely resisted the army assault this morning , firing Kalashnikov rifles .","El Watan , an Algerian newspaper , reported that the kidnappers put up fierce resistance during the army assault , firing Kalashnikov rifles .",news-A:58,test,22-23 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 18-19 19-20 20-21 21-22 13-16 14-17 15-18 11-13 12-14 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 12-11 12-12 12-14 13-16 14-17 15-18 18-19 19-20 20-21 21-22 22-23 ,11-13 ,{},{}
Motorola had scheduled its earnings report to be released today after the close of trading .,"the Schaumburg , Ill.-based company had scheduled its earnings report to be released on Tuesday after the close of trading .",news-A:490,test,15-20 1-5 2-6 3-7 4-8 5-9 6-10 7-11 8-12 10-15 11-16 12-17 13-18 14-19 9-14 ,{},{},{},0-1 0-2 0-3 0-4 1-5 2-6 3-7 4-8 5-9 6-10 7-11 8-12 9-14 10-15 11-16 12-17 13-18 14-19 15-20 ,{},{},{}
respondents who rated current business conditions as '' bad '' increased to 30.4 % from 28.1 % in June .,"'' those rating present business conditions as ` bad ' increased to 30.4 per cent from 28.1 per cent '' , the report said .",news-A:1054,test,19-24 4-4 5-5 6-6 10-10 11-11 12-12 14-15 15-16 3-3 2-2 8-8 13-14 16-18 7-0 9-19 ,{},{},{},3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 13-14 14-15 15-16 16-17 16-18 19-24 ,0-1 2-2 ,{},{}
"in terms of a free trade area , we 've got a long , long way to go and the Pakistanis understand that .","as for a free trade area , the official stressed that weve got a long , long way to go , and the Pakistanis understand that .",news-A:1470,test,23-26 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-21 19-22 20-23 21-24 22-25 3-2 4-3 5-4 6-5 7-6 ,{},{},{},0-0 0-1 1-0 1-1 2-0 2-1 3-2 4-3 5-4 6-5 7-6 8-11 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-21 19-22 20-23 21-24 22-25 23-26 ,{},{},{}
the dollar was also helped by concerns about possible yen-selling intervention by Japanese authorities .,the dollar was helped on Friday by talk of yen-selling intervention by Japanese authorities on Thursday and Friday .,news-A:2192,test,14-18 9-9 10-10 11-11 12-12 13-13 0-0 1-1 2-2 4-3 ,{},{},{},0-0 1-1 2-2 4-3 5-6 9-9 10-10 11-11 12-12 13-13 14-18 ,6-7 7-8 ,{},{}
he took batting practice on the field for the second time Tuesday since his opening-day injury .,"Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday .",news-A:747,test,16-24 1-13 2-14 3-15 4-16 5-17 6-18 7-19 8-20 10-22 11-23 ,{},{},{},1-13 2-14 3-15 4-16 5-17 6-18 7-19 8-20 9-21 10-22 13-4 14-10 14-11 16-24 ,0-0 11-23 ,{},{}
"'' the Princess ' marriage was not set up by force '' , said Vasile Ionescu , of the Roma Centre for public policies .","Vasile Ionescu , of the Roma Centre for public policies , said : '' the princess 's marriage was not set up by force .",news-A:277,test,24-24 14-0 15-1 16-2 17-3 18-4 19-5 20-6 21-7 22-8 23-9 4-17 5-18 6-19 7-20 8-21 9-22 10-23 0-13 1-14 2-15 12-10 13-11 ,{},{},{},0-13 1-14 2-15 3-16 4-17 5-18 6-19 7-20 8-21 9-22 10-23 13-11 14-0 15-1 16-2 17-3 18-4 19-5 20-6 21-7 22-8 23-9 24-24 ,{},{},{}
"shares of Mony were gaining $ 2.57 , or 9 % , to $ 31.90 in after-hours trading on Instinet .",Mony shares rose 8.76 per cent to $ 31.90 in after-hours trading in New York .,news-A:601,test,20-15 12-6 13-7 14-8 15-9 16-10 17-11 2-0 0-1 10-5 ,{},{},{},0-1 2-0 3-2 4-2 12-6 13-7 14-8 15-9 16-10 17-11 19-13 19-14 20-15 ,9-3 9-4 9-5 10-3 10-4 10-5 18-12 ,{},{}
"in the total external disk storage system market , revenue increased 1.5 percent year over year in the third quarter , to $ 3.2 billion .","in the total external disk storage system market , McArthur said revenue increased 1.5 percent year-over-year in Q3 to $ 3.2 billion .",news-A:2090,test,25-22 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 21-18 22-19 23-20 24-21 9-11 10-12 11-13 12-14 13-15 14-15 15-15 16-16 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-11 10-12 11-13 12-14 13-15 14-15 15-15 16-16 18-17 19-17 21-18 22-19 23-20 24-21 25-22 ,{},{},{}
"'' Frank Quattrone is innocent '' , Keker said in a statement .",Quattrone lawyer John W. Keker said his client is innocent .,news-A:1615,test,12-10 7-4 8-5 3-8 4-9 2-0 1-0 7-2 7-3 ,{},{},{},1-0 2-0 3-8 4-9 7-2 7-3 7-4 8-5 12-10 ,1-7 2-7 7-6 ,{},{}
"but Virgin wants to operate Concorde on routes to New York , Barbados and Dubai .","Branson said that his preference would be to operate a fully commercial service on routes to New York , Barbados and Dubai .",news-A:1569,test,15-22 6-13 7-14 8-15 9-16 10-17 11-18 12-19 13-20 14-21 3-7 4-8 ,{},{},{},2-4 2-5 2-6 3-7 4-8 6-13 7-14 8-15 9-16 10-17 11-18 12-19 13-20 14-21 15-22 ,1-0 1-3 ,{},{}
"under the plan being announced Wednesday in Washington , GM will provide Dow manufacturing plants with trucks containing fuel cell conversion equipment .","under the plan , which GM and Dow were to announce Wednesday in Washington , GM will provide Dow manufacturing plants with trucks containing fuel cell conversion equipment .",news-A:1527,test,22-28 5-11 6-12 7-13 8-14 9-15 10-16 11-17 12-18 13-19 14-20 15-21 16-22 17-23 18-24 19-25 20-26 21-27 0-0 1-1 2-2 4-10 ,{},{},{},0-0 1-1 2-2 5-11 6-12 7-13 8-14 9-15 10-16 11-17 12-18 13-19 14-20 15-21 16-22 17-23 18-24 19-25 20-26 21-27 22-28 ,3-10 4-10 ,{},{}
"Peterson , 31 , is now charged with murder in the deaths of his 27-year-old wife and their unborn son .","Peterson , 31 , is charged with two counts of first-degree murder in the slayings of his wife , Laci , and their unborn son , Conner .",news-A:461,test,20-27 0-0 1-1 2-2 3-3 4-4 16-21 17-22 18-23 19-24 8-11 9-12 10-13 6-5 7-6 12-15 13-16 15-17 ,{},{},{},0-0 1-1 2-2 3-3 4-4 6-5 7-6 8-11 9-12 10-13 11-14 12-15 13-16 15-17 16-21 17-22 18-23 19-24 20-27 ,{},{},{}
"Mohcine Douali , who lives in the centre of Algiers , said : '' it was a great shock .","'' it was a great shock '' , said Mohcine Douali , who lives in central Algiers .",news-A:1373,test,19-17 13-0 14-1 15-2 16-3 17-4 18-5 0-9 1-10 2-11 3-12 4-13 5-14 10-7 11-8 9-16 7-15 ,{},{},{},0-9 1-10 2-11 3-12 4-13 5-14 9-16 11-8 13-0 14-1 15-2 16-3 17-4 18-5 19-17 ,7-15 ,{},{}
"in his new position , Dynes will earn $ 395,000 , a significant increase over Atkinson 's salary of $ 361,400 .","Dynes will be paid $ 395,000 a year ; Atkinson 's salary is $ 361,400 .",news-A:692,test,21-15 15-9 16-10 17-11 19-13 20-14 5-0 6-1 8-4 9-5 ,{},{},{},5-0 6-1 7-2 7-3 8-4 9-5 10-8 15-9 16-10 17-11 19-13 20-14 21-15 ,{},{},{}
"the skull is then punctured , the brain suctioned out , and that causes the skull to collapse so it can be removed from the birth canal .","the skull is then punctured and the brain suctioned out , causing the skull to collapse and easing passage through the birth canal .",news-A:1330,test,27-23 0-0 1-1 2-2 3-3 4-4 6-6 7-7 8-8 9-9 10-10 14-12 15-13 16-14 17-15 24-20 25-21 26-22 13-11 ,{},{},{},0-0 1-1 2-2 3-3 4-4 6-6 7-7 8-8 9-9 10-10 13-11 14-12 15-13 16-14 17-15 24-20 25-21 26-22 27-23 ,5-5 20-17 20-18 20-19 21-17 21-18 21-19 22-17 22-18 22-19 23-17 23-18 23-19 ,{},{}
"University of Michigan president Mary Sue Coleman said in a statement on the university 's web site '' , our fundamental values have n't changed .","'' our fundamental values have n't changed '' , Mary Sue Coleman , president of the university , said in a statement in Ann Arbor .",news-A:554,test,25-25 19-1 20-2 21-3 22-4 23-5 24-6 7-18 8-19 9-20 10-21 4-9 5-10 6-11 12-15 13-16 17-7 18-8 3-13 ,{},{},{},0-16 3-13 4-9 5-10 6-11 7-18 8-19 9-20 10-21 12-15 18-0 19-1 20-2 21-3 22-4 23-5 24-6 25-25 ,13-16 ,{},{}
"Westfield , which owns Galleria in Morley , also will continue discussions about the other co-owned centres such as Knox City in Melbourne , half-owned by Deutsche Bank .","Westfield also will continue discussions over the other co-owned centres , such as Knox City in Melbourne , where Deutsche Bank owns a 50 per cent stake .",news-A:376,test,28-27 17-11 18-12 19-13 20-14 21-15 22-16 23-17 8-1 9-2 10-3 11-4 13-6 14-7 15-8 16-9 26-19 27-20 0-0 ,{},{},{},0-0 8-1 9-2 10-3 11-4 12-5 13-6 14-7 15-8 16-9 17-11 18-12 19-13 20-14 21-15 22-16 23-17 26-19 27-20 28-27 ,24-21 24-22 24-23 24-24 24-25 24-26 ,{},{}
Hong Kong-based Phoenix TV quoted unnamed experts as saying launch will be between Oct. 10 and 17 and will carry two men .,the web site of Hong Kong-based Phoenix TV quoted unnamed experts as saying it would happen between Oct. 10 and 17 and carry two men .,news-A:2334,test,22-25 0-4 1-5 2-6 3-7 4-8 5-9 6-10 7-11 8-12 12-16 13-17 14-18 15-19 16-20 17-21 19-22 20-23 21-24 ,{},{},{},0-4 1-5 2-6 3-7 4-8 5-9 6-10 7-11 8-12 10-14 10-15 11-14 11-15 12-16 13-17 14-18 15-19 16-20 17-21 18-22 19-22 20-23 21-24 22-25 ,9-13 ,{},{}
Peterson is charged with two counts of murder in the deaths of his wife and unborn son .,"Peterson , 30 , is awaiting trial on two counts of murder for the deaths of his wife , Laci , and their unborn son .",news-A:1724,test,17-25 9-13 10-14 11-15 12-16 13-17 4-8 5-9 6-10 7-11 15-23 16-24 0-0 14-21 ,{},{},{},0-0 1-4 1-5 1-6 2-4 2-5 2-6 4-8 5-9 6-10 7-11 8-12 9-13 10-14 11-15 12-16 13-17 14-21 15-23 16-24 17-25 ,3-7 ,{},{}
"the opposition leader , Simon Crean , said John Howard had been forced to make changes by the incompetence of his ministers .","the leader of the opposition , Simon Crean , said from Jakarta that the reshuffle had been forced by ministerial incompetence .",news-A:498,test,22-21 3-5 4-6 5-7 6-8 7-9 10-15 11-16 12-17 0-3 1-4 2-1 18-20 21-19 ,{},{},{},0-0 1-4 2-1 3-5 4-6 5-7 6-8 7-9 10-15 11-16 12-17 16-18 18-20 19-19 21-19 22-21 ,14-14 15-14 ,{},{}
"where long-lines used to catch 10 fish per 100 hooks in past decades , they are now lucky to catch one , the study found .","'' whereas long lines used to catch 10 fish per 100 hooks , now they are lucky to catch one '' , Myers said .",news-A:2429,test,25-24 2-4 3-5 4-6 5-7 6-8 7-9 8-10 9-11 17-16 18-17 19-18 20-19 14-14 15-15 1-2 1-3 ,{},{},{},0-1 1-2 1-3 2-4 3-5 4-6 5-7 6-8 7-9 8-10 9-11 14-14 15-15 16-13 17-16 18-17 19-18 20-19 21-20 25-24 ,{},{},{}
"Sgt. Randy Force , a police spokesman , said O'Brien was n't being charged with causing the crash because Reed was jaywalking .","Sergeant Randy Force , a police spokesman , said O'Brien was n't being charged with causing the crash because the victim had been jaywalking .",news-A:1975,test,22-24 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 21-23 0-0 20-22 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 19-20 20-21 20-22 20-23 21-21 21-22 21-23 22-24 ,{},{},{}
Hynix CEO E.J. Woo condemned the decision calling the ruling an '' outrageous act aimed at a hidden agenda '' .,"meanwhile , Hynix Semiconductors voiced strong criticism of the United States , calling its decision an '' outrageous tactic aimed at a hidden agenda '' .",news-A:278,test,20-25 14-19 15-20 16-21 17-22 18-23 19-24 10-15 11-16 12-17 0-2 9-14 7-12 ,{},{},{},0-2 4-4 4-5 4-6 6-14 7-12 10-15 11-16 12-17 13-18 14-19 15-20 16-21 17-22 18-23 19-24 20-25 ,5-13 8-13 9-14 ,{},{}
"Rumsfeld , who has been feuding for two years with Army leadership , passed over nine active-duty four-star generals .","Rumsfeld has been feuding for a long time with Army leadership , and he passed over nine active-duty four-star generals .",news-A:300,test,19-20 13-14 14-15 15-16 16-17 17-18 18-19 3-1 4-2 5-3 6-4 9-8 10-9 11-10 12-11 0-0 ,{},{},{},0-0 3-1 4-2 5-3 6-4 9-8 10-9 11-10 12-11 13-14 14-15 15-16 16-17 17-18 18-19 19-20 ,0-13 2-0 7-5 7-6 7-7 8-5 8-6 8-7 ,{},{}
"then they moved inside the mosque and started firing on the people '' , he told the Associated Press .",'' then they moved inside the mosque and started firing on the people '' .,news-A:1341,test,19-14 0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 11-12 12-13 ,{},{},{},0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 11-12 12-13 19-14 ,{},{},{}
"last month , 62 Spanish peacekeepers died when their plane crashed in Turkey as they were returning home .","in another disaster , 62 Spanish peacekeepers were killed May 26 when their plane crashed in Turkey on their way home .",news-A:1546,test,18-21 7-11 8-12 9-13 10-14 11-15 12-16 2-3 3-4 4-5 5-6 17-20 6-8 0-1 ,{},{},{},2-3 3-4 4-5 5-6 6-7 6-8 7-11 8-12 9-13 10-14 11-15 12-16 13-17 13-18 13-19 14-17 14-18 14-19 15-17 15-18 15-19 16-17 16-18 16-19 17-20 18-21 ,{},{},{}
that means Democrats can block any Supreme Court nominee through a filibuster if they can get 40 of their members to agree .,but Democrats can block any potential nominee through a filibuster if they can get 41 votes .,news-A:1623,test,22-16 8-6 9-7 10-8 11-9 12-10 13-11 14-12 15-13 2-1 3-2 4-3 5-4 ,{},{},{},2-1 3-2 4-3 5-4 8-6 9-7 10-8 11-9 12-10 13-11 14-12 15-13 22-16 ,16-14 18-11 21-15 ,{},{}
clearly Roman creams of any type do not normally survive in the archaeological record .,"clearly Roman creams of any type , paint or cosmetic , do not normally survive ... it 's pretty exceptional '' .",news-A:232,test,14-21 0-0 1-1 2-2 3-3 4-4 5-5 6-11 7-12 8-13 9-14 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-11 7-12 8-13 9-14 14-21 ,{},{},{}
"the association said 28.2 million DVDs were rented in the week that ended June 15 , compared with 27.3 million VHS cassettes .","the Video Software Dealers Association said 28.2 million DVDs were rented out last week , compared to 27.3 million VHS cassettes .",news-A:233,test,22-21 1-4 2-5 3-6 4-7 5-8 6-9 7-10 18-17 19-18 20-19 21-20 15-14 16-15 10-13 0-0 ,{},{},{},0-0 1-4 2-5 3-6 4-7 5-8 6-9 7-10 7-11 10-13 11-12 12-12 13-12 14-12 15-14 16-15 18-17 19-18 20-19 21-20 22-21 ,17-16 ,{},{}
"resigning along with Brendsel was Vaughn Clarke , the company 's executive vice president and chief financial officer .","Chairman and Chief Executive Leland Brendsel and Vaughn Clarke , the company 's executive vice president and chief financial officer , resigned .",news-A:1016,test,18-22 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 3-5 3-4 0-21 ,{},{},{},3-4 3-5 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-22 ,0-21 ,{},{}
"Scotland Yard said the three were charged under the Anti-Terrorism , Crime and Security Act 2001 , with alleged failure to disclose information about acts of terrorism .",Scotland Yard said in a statement it had charged a 46-year-old man and two women aged 27 and 35 with failing to disclose information about acts of terrorism .,news-A:2015,test,27-28 20-21 21-22 22-23 23-24 24-25 25-26 26-27 0-0 1-1 2-2 6-8 19-20 17-19 7-3 7-19 ,{},{},{},0-0 1-1 2-2 4-10 4-11 4-12 4-13 4-14 4-15 4-16 4-17 4-18 17-19 19-20 20-21 21-22 22-23 23-24 24-25 25-26 26-27 27-28 ,0-6 1-6 5-7 5-8 6-7 6-8 ,{},{}
the Cavaliers won the right Thursday to select James in the June 26 draft .,the Cleveland Cavaliers won the right to draft James by winning the NBA 's annual lottery Thursday night .,news-A:1410,test,14-18 1-2 2-3 3-4 4-5 8-8 1-1 5-16 13-7 0-0 ,{},{},{},0-0 1-2 2-3 3-4 4-5 5-16 6-6 7-7 8-8 13-15 14-18 ,2-10 ,{},{}
British-born astronaut Michael Foale is about to fly into space to take up his post as commander of the International Space Station .,British-born astronaut Michael Foale is on his way to take command of the international space station .,news-A:1718,test,22-16 17-11 18-12 19-13 20-14 21-15 0-0 1-1 2-2 3-3 4-4 10-8 11-9 16-10 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 5-7 10-8 11-9 12-9 13-6 14-10 15-10 16-10 17-11 18-12 19-13 20-14 21-15 22-16 ,{},{},{}
the juvenile arrested yesterday allegedly authored a variant of the worm known as '' RPCSDBOT '' .,the variant the juvenile allegedly created was known as '' RPCSDBOT '' .,news-A:2173,test,16-12 11-7 12-8 13-9 14-10 15-11 0-2 1-3 4-4 7-1 ,{},{},{},0-2 1-3 4-4 5-5 7-1 11-6 11-7 12-8 13-9 14-10 15-11 16-12 ,6-0 ,{},{}
"tuition at four-year private colleges averaged $ 19,710 this year , up 6 percent from 2002 .","for the current academic year , tuition at public colleges averaged $ 4,694 , up almost $ 600 from the year before .",news-A:61,test,16-22 4-9 5-10 6-11 0-6 1-7 9-4 10-5 11-14 2-20 14-18 ,{},{},{},0-6 1-7 4-9 5-10 6-11 10-13 11-14 14-18 15-20 15-21 16-22 ,3-8 7-12 12-16 12-17 13-16 13-17 ,{},{}
the FTC also asked the judge to suspend his ruling pending its appeal .,the FTC asked the court Wednesday to block the ruling and filed for an appeal .,news-A:902,test,13-15 0-0 1-1 3-2 4-3 12-14 5-4 9-9 ,{},{},{},0-0 1-1 3-2 4-3 6-6 7-7 9-9 12-14 13-15 ,5-4 8-8 11-13 ,{},{}
"the technology-laced Nasdaq Composite index .ixic was down 27.13 points , or 1.64 percent , at 1,626.49 , based on the latest data .","the technology-laced Nasdaq Composite Index <.ixic> declined 25.78 points , or 1.56 percent , to 1,627.84 .",news-A:966,test,24-19 0-0 1-1 2-2 3-3 4-4 10-11 11-12 12-13 5-6 6-7 14-15 15-16 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-6 9-8 10-9 11-10 13-12 23-16 ,8-7 12-11 15-14 16-15 ,{},{}
"but as more people were shot , Moose had to admit that he could n't give the public the safety it needed .","but as time passed and more people were shot , Moose had to admit that he could n't give the public what it needed most from the police - safety .",news-A:1029,test,22-30 2-5 3-6 4-7 5-8 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-20 0-0 1-1 20-22 21-23 19-29 18-26 ,{},{},{},0-0 1-1 2-5 3-6 4-7 5-8 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-20 19-29 20-22 21-23 22-30 ,{},{},{}
"'' this deal makes sense for both companies '' , said National Chief Executive Brian Halla .","'' this deal makes sense for both companies '' , Halla said in a prepared statement .",news-A:1027,test,16-16 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-11 15-10 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-11 14-10 15-10 16-16 ,{},{},{}
"Bennett told Newsweek that '' over 10 years , I 'd say I 've come out pretty close to even '' .","'' over 10 years , I 'd say I 've come out pretty close to even '' , he said .",news-A:1797,test,21-20 4-0 5-1 6-2 7-3 8-4 9-5 10-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 1-19 ,{},{},{},1-19 4-0 5-1 6-2 7-3 8-4 9-5 10-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 21-20 ,0-18 ,{},{}
"by the time the two-term president left office in 1989 , the Navy had nearly 600 ships - about twice the ships it has today .","by the time that Reagan left office in 1989 , the Navy had nearly 600 ships - about twice the number that it has today .",news-A:2421,test,25-25 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 18-17 19-18 20-19 22-22 23-23 24-24 0-0 1-1 2-2 ,{},{},{},0-0 1-1 2-2 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 18-17 19-18 20-19 22-22 23-23 24-24 25-25 ,21-20 ,{},{}
Bolland told the News of the World : '' I was astonished at Sir Michael 's question .,Mr Bolland said : '' I was astonished at Sir Michael 's question .,news-A:791,test,17-13 7-3 8-4 9-5 10-6 11-7 12-8 13-9 14-10 15-11 16-12 0-1 1-2 ,{},{},{},0-1 1-2 7-3 8-4 9-5 10-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 ,{},{},{}
"'' we will clearly modify some features of our plans as well as their administration '' , Reed said in a letter to the NYSE 's 1,366 members .","'' we will clearly modify some features of our plans as well as their administration '' , Reed said in his letter .",news-A:2351,test,28-22 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 21-21 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 21-21 28-22 ,20-20 ,{},{}
"but the settlement also defers any payment to investors , potentially for years , until the securities lawsuits against the brokerage firms are resolved .","any payment to investors will be delayed , potentially for years , until the securities lawsuits against the brokerage firms are resolved .",news-A:2056,test,24-22 9-7 10-8 11-9 12-10 13-11 14-12 15-13 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 5-0 6-1 7-2 8-3 4-6 ,{},{},{},5-0 6-1 7-2 8-3 9-7 10-8 11-9 12-10 13-11 14-12 15-13 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 24-22 ,4-4 4-5 4-6 ,{},{}
"November 17 's last victim was British defence attache Stephen Saunders , who was shot on an Athens road in June 2000 .","November 17 's last victim was British defense attache Stephen Saunders , who was shot and killed at point-blank range on a busy Athens road in June 2000 .",news-A:1143,test,22-28 0-0 1-1 2-2 3-3 4-4 5-5 6-6 8-8 9-9 10-10 11-11 12-12 13-13 14-14 17-23 18-24 19-25 20-26 21-27 7-7 15-20 16-21 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-20 16-21 17-23 18-24 19-25 20-26 21-27 22-28 ,{},{},{}
